complaint_id,train_id,zone,category,filed_date,resolved_date,sla_target_days,resolved_in_days,met_sla
C00001,T0057,WR,Punctuality,2024-11-10,2024-11-11,3,1,1
C00002,T0067,WR,Water Availability,2025-11-17,2025-11-21,3,4,0
C00003,T0016,ER,Catering,2025-03-09,2025-03-14,5,5,1
C00004,T0040,CR,Cleanliness,2025-05-03,2025-05-04,5,1,1
C00005,T0026,ER,Punctuality,2025-08-08,2025-08-12,3,4,0
C00006,T0084,NER,Staff Behavior,2025-09-06,2025-09-15,10,9,1
C00007,T0134,NER,Staff Behavior,2025-03-01,2025-03-06,10,5,1
C00008,T0139,WR,Water Availability,2024-08-31,2024-09-06,7,6,1
C00009,T0111,WR,Cleanliness,2024-03-21,2024-03-27,3,6,0
C00010,T0099,SCR,Staff Behavior,2024-11-15,2024-11-16,7,1,1
C00011,T0031,WR,Catering,2025-09-22,2025-10-03,7,11,0
C00012,T0094,NER,Staff Behavior,2024-05-17,2024-05-19,3,2,1
C00013,T0069,CR,Punctuality,2024-10-23,2024-10-28,3,5,0
C00014,T0062,WR,Security,2025-08-20,2025-08-23,10,3,1
C00015,T0096,SR,Punctuality,2025-04-04,2025-04-09,10,5,1
C00016,T0099,SCR,Punctuality,2024-02-07,2024-02-11,10,4,1
C00017,T0115,NR,Catering,2024-11-01,2024-11-06,5,5,1
C00018,T0067,WR,Catering,2025-07-28,2025-08-10,10,13,0
C00019,T0036,CR,Water Availability,2024-12-06,2024-12-12,7,6,1
C00020,T0035,WR,Water Availability,2024-09-17,2024-09-24,5,7,0
C00021,T0125,WR,Cleanliness,2025-08-04,2025-08-07,5,3,1
C00022,T0078,WR,Catering,2025-12-17,2025-12-25,5,8,0
C00023,T0133,SER,Security,2024-01-18,2024-01-31,10,13,0
C00024,T0147,NER,Punctuality,2025-01-15,2025-01-23,7,8,0
C00025,T0148,ER,Water Availability,2025-11-24,2025-12-01,3,7,0
C00026,T0004,SCR,Coach Maintenance,2024-06-10,2024-06-24,10,14,0
C00027,T0059,SER,Water Availability,2025-01-23,2025-01-31,3,8,0
C00028,T0121,SCR,Water Availability,2025-07-28,2025-07-30,3,2,1
C00029,T0012,WR,Staff Behavior,2024-08-21,2024-08-24,10,3,1
C00030,T0148,ER,Security,2024-03-11,2024-03-21,10,10,1
C00031,T0079,SCR,Security,2025-11-04,2025-11-11,5,7,0
C00032,T0030,NR,Security,2024-12-22,2024-12-23,7,1,1
C00033,T0104,NER,Water Availability,2025-04-22,2025-04-28,3,6,0
C00034,T0040,CR,Coach Maintenance,2024-11-05,2024-11-15,5,10,0
C00035,T0021,CR,Staff Behavior,2025-08-28,2025-08-29,7,1,1
C00036,T0136,NR,Punctuality,2024-06-05,2024-06-08,3,3,1
C00037,T0077,WR,Security,2025-08-04,2025-08-05,3,1,1
C00038,T0094,NER,Cleanliness,2024-11-20,2024-11-27,7,7,1
C00039,T0126,WR,Water Availability,2025-06-14,2025-06-16,7,2,1
C00040,T0009,WR,Cleanliness,2024-07-26,2024-07-30,7,4,1
C00041,T0050,CR,Coach Maintenance,2024-07-18,2024-07-22,5,4,1
C00042,T0145,SER,Coach Maintenance,2024-07-14,2024-07-20,5,6,0
C00043,T0083,ER,Coach Maintenance,2025-05-27,2025-06-01,5,5,1
C00044,T0040,CR,Water Availability,2025-09-10,2025-09-21,10,11,0
C00045,T0069,CR,Security,2025-06-24,2025-06-30,3,6,0
C00046,T0065,SER,Staff Behavior,2025-12-25,2025-12-31,3,6,0
C00047,T0013,SER,Water Availability,2024-09-07,2024-09-18,10,11,0
C00048,T0056,ER,Security,2024-05-08,2024-05-15,5,7,0
C00049,T0066,WR,Cleanliness,2024-11-23,2024-11-27,5,4,1
C00050,T0015,NER,Punctuality,2025-04-26,2025-05-04,7,8,0
C00051,T0050,CR,Security,2024-06-01,2024-06-04,5,3,1
C00052,T0105,SER,Water Availability,2025-06-02,2025-06-07,7,5,1
C00053,T0108,SR,Cleanliness,2025-08-11,2025-08-25,10,14,0
C00054,T0138,ER,Staff Behavior,2025-06-28,2025-07-02,3,4,0
C00055,T0105,SER,Coach Maintenance,2025-07-23,2025-08-05,10,13,0
C00056,T0134,NER,Catering,2025-11-08,2025-11-17,5,9,0
C00057,T0023,SER,Punctuality,2024-09-13,2024-09-20,7,7,1
C00058,T0002,SR,Cleanliness,2025-04-22,2025-05-01,10,9,1
C00059,T0064,CR,Punctuality,2025-06-25,2025-06-30,5,5,1
C00060,T0134,NER,Coach Maintenance,2024-09-28,2024-10-05,10,7,1
C00061,T0012,WR,Staff Behavior,2024-07-15,2024-07-27,10,12,0
C00062,T0150,NER,Catering,2024-08-04,2024-08-17,10,13,0
C00063,T0105,SER,Staff Behavior,2024-04-12,2024-04-18,5,6,0
C00064,T0009,WR,Coach Maintenance,2025-07-08,2025-07-12,5,4,1
C00065,T0055,SR,Water Availability,2025-03-08,2025-03-17,7,9,0
C00066,T0102,SCR,Staff Behavior,2025-11-18,2025-11-20,7,2,1
C00067,T0124,NR,Punctuality,2024-05-22,2024-05-27,5,5,1
C00068,T0121,SCR,Water Availability,2025-08-10,2025-08-13,3,3,1
C00069,T0050,CR,Staff Behavior,2025-12-04,2025-12-12,7,8,0
